company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,required_skill,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
amgen inc,configuration and deployment management,configuration and deployment management,0-3,0,1.5,3,entry (0–2),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cyber security', 'microsoft azure', 'it operations', 'qualys', 'risk assessment', 'python', 'owasp', 'soc', 'information security', 'networking', 'vulnerability management', 'siem', 'patch management', 'vulnerability assessment', 'nessus', 'qradar', 'powershell', 'penetration testing', 'aws']",1,0,0,0,0,0,0,0,0,1,0,"['Role: Configuration and Deployment Management', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']"
raksha technologies,it & information security,it & information security,0-3,0,1.5,3,entry (0–2),chennai,chennai,chennai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['log analysis', 'soc', 'qradar', 'security monitoring']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT & Information Security - Other', 'Industry Type: Hardware & Networking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate']"
unknown company,cyber security,cyber security,0-1,0,0.5,1,entry (0–2),"pune, bengaluru",pune,pune,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cyber security', 'soc', 'penetration testing', 'grc', 'security operations']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Cyber Security', 'Industry Type: Hardware & Networking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MCA in Any Specialization']"
amgen inc,security engineer,security engineer,0-3,0,1.5,3,entry (0–2),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['security operations', 'soc', 'linux', 'vector', 'security operations center', 'cyber security', 'network security', 'arcsight', 'ceh', 'information security', 'networking', 'siem', 'vulnerability assessment', 'nessus', 'qradar', 'security+', 'comptia']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']"
singhi & co,cyber security,cyber security,0-3,0,1.5,3,entry (0–2),kolkata,kolkata,kolkata,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cyber security', 'it risk management', 'ceh', 'ethical hacking']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization, BCA in Any Specialization, Diploma in Any Specialization, B.Sc in Any Specialization']"
connectwise,security engineer,security engineer,1-6,1,3.5,6,junior (3–5),"mumbai, pune",mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['security analysis', 'soc', 'siem', 'linux', 'security+', 'cyber security', 'arcsight', 'ceh', 'ip', 'information security', 'dlp', 'vulnerability management', 'vulnerability assessment', 'nessus', 'qradar', 'certified ethical hacker', 'splunk', 'ids', 'security monitoring', 'security services']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']"
ti steps,security engineer,security engineer,0-2,0,1.0,2,entry (0–2),"hyderabad, chennai, bengaluru",hyderabad,hyderabad,city,1-3 Lacs P.A.,1-3 lacs,1.0,2.0,3.0,0-3 LPA,"['ethical hacking', 'cyber security', 'malware analysis']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Security Engineer / Analyst', 'Industry Type: Education / Training', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']"
amgen inc,system security engineer,system security engineer,0-3,0,1.5,3,entry (0–2),hyderabad,hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['gcp', 'troubleshooting', 'information systems', 'protocols', 'aws', 'cyber security', 'arcsight', 'soc', 'information security', 'microsoft azure', 'networking', 'siem', 'vulnerability assessment', 'qradar']",0,0,0,0,0,0,0,0,0,1,0,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']"
indusind bank,it security,it security,10,10,10.0,10,senior (9–12),mumbai,mumbai,mumbai,city,1.25-1.75 Lacs P.A.,1.25-1.75 lacs,1.25,1.5,1.75,0-3 LPA,"['dss', 'framework', 'it security']",0,0,0,0,0,0,0,0,0,0,0,"['Role: IT Security - Other', 'Industry Type: Banking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Sc in Any Specialization']"
travclan,system analyst,system analyst,0-1,0,0.5,1,entry (0–2),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['joining formalities', 'erp', 'hr generalist activities', 'sap', 'information technology', 'cyber security', 'training', 'cctv', 'operations', 'employee engagement', 'recruitment', 'compliance', 'vendor', 'background verification', 'onboarding', 'access control', 'communication skills']",0,0,0,0,0,0,0,0,0,0,0,"['Role: System Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate', 'PG: Any Postgraduate']"
